Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName7;Time7;Speed7;Stroke7;
5;AUS2;00:03.089;2.9;0.0;ROU;00:02.848;2.8;0.0;NED;00:03.067;2.9;0.0;AUS1;00:02.381;2.8;0.0;;00:00.000;0.0;0.0
10;AUS2;00:04.476;3.3;40.0;ROU;00:04.236;3.2;49.0;NED;00:04.414;3.4;44.0;AUS1;00:03.928;3.3;0.0;;00:00.000;0.0;0.0
15;AUS2;00:05.585;3.6;41.0;ROU;00:05.404;3.6;49.0;NED;00:05.564;3.7;45.0;AUS1;00:05.207;3.5;41.0;;00:00.000;0.0;0.0
20;AUS2;00:06.607;4.1;41.0;ROU;00:06.495;4.1;50.0;NED;00:06.609;4.2;45.0;AUS1;00:06.253;3.9;41.0;;00:00.000;0.0;0.0
25;AUS2;00:07.654;4.6;42.0;ROU;00:07.489;4.6;50.0;NED;00:07.530;4.6;46.0;AUS1;00:07.219;4.4;42.0;;00:00.000;0.0;0.0
30;AUS2;00:08.599;5.0;42.0;ROU;00:08.406;4.9;50.0;NED;00:08.518;5.0;46.0;AUS1;00:08.094;4.9;43.0;;00:00.000;0.0;0.0
35;AUS2;00:09.440;5.2;43.0;ROU;00:09.303;5.2;50.0;NED;00:09.436;5.3;46.0;AUS1;00:09.034;5.3;43.0;;00:00.000;0.0;0.0
40;AUS2;00:10.392;5.4;43.0;ROU;00:10.251;5.3;50.0;NED;00:10.265;5.5;46.0;AUS1;00:09.904;5.5;43.0;;00:00.000;0.0;0.0
45;AUS2;00:11.296;5.5;44.0;ROU;00:11.168;5.5;51.0;NED;00:11.184;5.6;46.0;AUS1;00:10.715;5.7;44.0;;00:00.000;0.0;0.0
50;AUS2;00:12.132;5.6;44.0;ROU;00:12.048;5.6;51.0;NED;00:12.065;5.7;46.0;AUS1;00:11.623;5.8;44.0;;00:00.000;0.0;0.0
55;AUS2;00:13.051;5.7;44.0;ROU;00:12.876;5.6;51.0;NED;00:12.866;5.8;46.0;AUS1;00:12.419;5.9;45.0;;00:00.000;0.0;0.0
60;AUS2;00:13.931;5.7;44.0;ROU;00:13.779;5.7;51.0;NED;00:13.729;5.8;46.0;AUS1;00:13.239;5.9;45.0;;00:00.000;0.0;0.0
65;AUS2;00:14.746;5.7;44.0;ROU;00:14.688;5.7;51.0;NED;00:14.634;5.8;46.0;AUS1;00:14.139;6.0;45.0;;00:00.000;0.0;0.0
70;AUS2;00:15.673;5.8;44.0;ROU;00:15.507;5.8;51.0;NED;00:15.446;5.9;46.0;AUS1;00:14.922;6.0;45.0;;00:00.000;0.0;0.0
75;AUS2;00:16.500;5.8;44.0;ROU;00:16.357;5.8;51.0;NED;00:16.295;5.9;46.0;AUS1;00:15.781;6.0;45.0;;00:00.000;0.0;0.0
80;AUS2;00:17.372;5.8;44.0;ROU;00:17.277;5.8;50.0;NED;00:17.186;5.9;46.0;AUS1;00:16.626;6.0;44.0;;00:00.000;0.0;0.0
85;AUS2;00:18.269;5.8;44.0;ROU;00:18.170;5.8;50.0;NED;00:17.961;5.9;46.0;AUS1;00:17.402;6.0;44.0;;00:00.000;0.0;0.0
90;AUS2;00:19.069;5.8;43.0;ROU;00:19.000;5.8;50.0;NED;00:18.856;5.9;46.0;AUS1;00:18.293;6.0;44.0;;00:00.000;0.0;0.0
