Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName7;Time7;Speed7;Stroke7;
5;FRA2;00:02.045;3.9;0.0;ARG;00:02.634;3.5;0.0;MEX;00:02.476;3.4;0.0;FRA1;00:02.539;3.5;0.0;;00:00.000;0.0;0.0
10;FRA2;00:03.341;3.8;0.0;ARG;00:03.840;3.8;0.0;MEX;00:03.700;3.9;46.0;FRA1;00:03.733;3.9;0.0;;00:00.000;0.0;0.0
15;FRA2;00:04.444;4.0;45.0;ARG;00:04.840;4.1;43.0;MEX;00:04.704;4.2;46.0;FRA1;00:04.715;4.2;45.0;;00:00.000;0.0;0.0
20;FRA2;00:05.478;4.5;45.0;ARG;00:05.891;4.5;44.0;MEX;00:05.752;4.5;46.0;FRA1;00:05.757;4.6;45.0;;00:00.000;0.0;0.0
25;FRA2;00:06.409;4.9;46.0;ARG;00:06.844;4.9;44.0;MEX;00:06.707;4.9;46.0;FRA1;00:06.704;5.0;46.0;;00:00.000;0.0;0.0
30;FRA2;00:07.238;5.2;46.0;ARG;00:07.690;5.3;45.0;MEX;00:07.622;5.2;47.0;FRA1;00:07.570;5.3;46.0;;00:00.000;0.0;0.0
35;FRA2;00:08.212;5.4;46.0;ARG;00:08.581;5.5;45.0;MEX;00:08.448;5.4;47.0;FRA1;00:08.420;5.5;46.0;;00:00.000;0.0;0.0
40;FRA2;00:09.139;5.6;46.0;ARG;00:09.533;5.6;45.0;MEX;00:09.385;5.5;47.0;FRA1;00:09.345;5.6;46.0;;00:00.000;0.0;0.0
45;FRA2;00:09.954;5.6;46.0;ARG;00:10.409;5.6;45.0;MEX;00:10.313;5.6;47.0;FRA1;00:10.194;5.7;46.0;;00:00.000;0.0;0.0
50;FRA2;00:10.919;5.6;45.0;ARG;00:11.256;5.7;46.0;MEX;00:11.172;5.6;47.0;FRA1;00:11.026;5.8;46.0;;00:00.000;0.0;0.0
55;FRA2;00:11.828;5.6;45.0;ARG;00:12.177;5.7;46.0;MEX;00:12.049;5.6;47.0;FRA1;00:11.933;5.8;46.0;;00:00.000;0.0;0.0
60;FRA2;00:12.649;5.6;45.0;ARG;00:13.028;5.7;46.0;MEX;00:12.991;5.6;47.0;FRA1;00:12.761;5.8;46.0;;00:00.000;0.0;0.0
65;FRA2;00:13.591;5.6;45.0;ARG;00:13.880;5.7;46.0;MEX;00:13.860;5.6;46.0;FRA1;00:13.611;5.8;46.0;;00:00.000;0.0;0.0
70;FRA2;00:14.521;5.6;44.0;ARG;00:14.827;5.7;45.0;MEX;00:14.759;5.6;46.0;FRA1;00:14.530;5.8;45.0;;00:00.000;0.0;0.0
75;FRA2;00:15.330;5.6;44.0;ARG;00:15.686;5.7;45.0;MEX;00:15.684;5.6;46.0;FRA1;00:15.324;5.8;45.0;;00:00.000;0.0;0.0
80;FRA2;00:16.305;5.6;44.0;ARG;00:16.565;5.6;45.0;MEX;00:16.556;5.6;46.0;FRA1;00:16.251;5.8;45.0;;00:00.000;0.0;0.0
85;FRA2;00:17.239;5.6;44.0;ARG;00:17.532;5.6;45.0;MEX;00:17.435;5.6;45.0;FRA1;00:17.167;5.8;44.0;;00:00.000;0.0;0.0
