Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName7;Time7;Speed7;Stroke7;
5;UKR2;00:02.889;2.8;0.0;ROU;00:02.496;3.1;0.0;AUS;00:02.521;2.9;0.0;UKR1;00:02.748;3.0;0.0;GER;00:02.732;3.3;0.0;;00:00.000;0.0;0.0
10;UKR2;00:04.153;3.4;102.0;ROU;00:03.836;3.5;46.0;AUS;00:04.068;3.2;0.0;UKR1;00:04.035;3.7;47.0;GER;00:04.168;3.4;0.0;;00:00.000;0.0;0.0
15;UKR2;00:05.298;3.9;105.0;ROU;00:04.898;3.9;46.0;AUS;00:05.249;3.6;33.0;UKR1;00:05.069;4.0;47.0;GER;00:05.332;3.8;33.0;;00:00.000;0.0;0.0
20;UKR2;00:06.275;4.4;104.0;ROU;00:05.842;4.3;47.0;AUS;00:06.110;3.9;33.0;UKR1;00:05.947;4.4;48.0;GER;00:06.234;4.1;34.0;;00:00.000;0.0;0.0
25;UKR2;00:07.158;4.8;104.0;ROU;00:06.796;4.8;48.0;AUS;00:07.140;4.6;34.0;UKR1;00:06.940;4.9;48.0;GER;00:07.222;4.7;34.0;;00:00.000;0.0;0.0
30;UKR2;00:07.944;5.2;61.0;ROU;00:07.695;5.3;48.0;AUS;00:07.982;5.1;35.0;UKR1;00:07.775;5.3;48.0;GER;00:08.074;5.2;36.0;;00:00.000;0.0;0.0
35;UKR2;00:08.847;5.7;62.0;ROU;00:08.455;5.6;48.0;AUS;00:08.846;5.6;37.0;UKR1;00:08.518;5.7;48.0;GER;00:08.891;5.6;37.0;;00:00.000;0.0;0.0
40;UKR2;00:09.674;5.9;51.0;ROU;00:09.319;5.9;49.0;AUS;00:09.661;5.9;38.0;UKR1;00:09.352;6.0;48.0;GER;00:09.721;5.9;38.0;;00:00.000;0.0;0.0
45;UKR2;00:10.393;6.1;51.0;ROU;00:10.134;6.1;49.0;AUS;00:10.417;6.0;39.0;UKR1;00:10.162;6.2;48.0;GER;00:10.434;6.1;39.0;;00:00.000;0.0;0.0
50;UKR2;00:11.251;6.2;51.0;ROU;00:10.904;6.2;49.0;AUS;00:11.247;6.3;40.0;UKR1;00:10.883;6.3;48.0;GER;00:11.289;6.3;39.0;;00:00.000;0.0;0.0
