Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;
125;USA2;00:24.280;5.8;43.0;GBR1;00:24.158;5.8;44.0;AUS2;00:24.144;5.8;44.0;IRL1;00:25.219;5.6;48.0;ITA1;00:24.488;5.7;46.0;;00:00.000;0.0;0.0
130;USA2;00:25.100;5.7;43.0;GBR1;00:25.110;5.8;44.0;AUS2;00:25.092;5.8;44.0;IRL1;00:26.099;5.6;48.0;ITA1;00:25.320;5.6;46.0;;00:00.000;0.0;0.0
135;USA2;00:26.055;5.7;43.0;GBR1;00:25.914;5.8;44.0;AUS2;00:25.967;5.8;44.0;IRL1;00:26.952;5.6;47.0;ITA1;00:26.240;5.6;45.0;;00:00.000;0.0;0.0
140;USA2;00:26.845;5.7;43.0;GBR1;00:26.797;5.8;43.0;AUS2;00:26.790;5.7;43.0;IRL1;00:27.912;5.6;47.0;ITA1;00:27.183;5.6;45.0;;00:00.000;0.0;0.0
145;USA2;00:27.816;5.6;42.0;GBR1;00:27.730;5.8;43.0;AUS2;00:27.740;5.7;43.0;IRL1;00:28.831;5.6;47.0;ITA1;00:28.017;5.6;45.0;;00:00.000;0.0;0.0
150;USA2;00:28.707;5.7;42.0;GBR1;00:28.510;5.7;43.0;AUS2;00:28.544;5.7;43.0;IRL1;00:29.653;5.5;47.0;ITA1;00:28.951;5.5;45.0;;00:00.000;0.0;0.0
155;USA2;00:29.534;5.6;42.0;GBR1;00:29.458;5.7;43.0;AUS2;00:29.465;5.7;43.0;IRL1;00:30.628;5.5;47.0;ITA1;00:29.903;5.5;44.0;;00:00.000;0.0;0.0
160;USA2;00:30.509;5.6;41.0;GBR1;00:30.342;5.7;43.0;AUS2;00:30.383;5.7;43.0;IRL1;00:31.559;5.5;46.0;ITA1;00:30.738;5.5;44.0;;00:00.000;0.0;0.0
165;USA2;00:31.340;5.6;41.0;GBR1;00:31.154;5.7;43.0;AUS2;00:31.203;5.7;42.0;IRL1;00:32.395;5.5;46.0;ITA1;00:31.698;5.5;44.0;;00:00.000;0.0;0.0
170;USA2;00:32.285;5.6;41.0;GBR1;00:32.112;5.7;43.0;AUS2;00:32.155;5.6;42.0;IRL1;00:33.368;5.5;46.0;ITA1;00:32.653;5.5;44.0;;00:00.000;0.0;0.0
175;USA2;00:33.211;5.6;41.0;GBR1;00:32.898;5.7;42.0;AUS2;00:33.010;5.7;42.0;IRL1;00:34.297;5.5;46.0;ITA1;00:33.482;5.4;43.0;;00:00.000;0.0;0.0
180;USA2;00:34.023;5.6;41.0;GBR1;00:33.845;5.7;42.0;AUS2;00:33.885;5.6;42.0;IRL1;00:35.157;5.5;45.0;ITA1;00:34.474;5.4;43.0;;00:00.000;0.0;0.0
185;USA2;00:35.021;5.5;41.0;GBR1;00:34.766;5.7;42.0;AUS2;00:34.829;5.6;42.0;IRL1;00:36.079;5.4;45.0;ITA1;00:35.423;5.4;43.0;;00:00.000;0.0;0.0
