Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName7;Time7;Speed7;Stroke7;
5;GBR;00:03.112;2.2;0.0;GER;00:03.457;2.1;0.0;NED;00:02.971;2.5;0.0;POL;00:03.156;2.3;0.0;;00:00.000;0.0;0.0
10;GBR;00:04.752;2.7;37.0;GER;00:04.984;2.9;39.0;NED;00:04.499;3.0;41.0;POL;00:04.721;3.0;50.0;;00:00.000;0.0;0.0
15;GBR;00:06.103;3.2;39.0;GER;00:06.362;3.4;40.0;NED;00:05.798;3.4;42.0;POL;00:06.067;3.3;50.0;;00:00.000;0.0;0.0
20;GBR;00:07.349;3.7;42.0;GER;00:07.576;3.8;41.0;NED;00:07.044;3.8;42.0;POL;00:07.297;3.8;49.0;;00:00.000;0.0;0.0
25;GBR;00:08.516;4.1;43.0;GER;00:08.715;4.2;41.0;NED;00:08.229;4.1;42.0;POL;00:08.469;4.1;49.0;;00:00.000;0.0;0.0
30;GBR;00:09.633;4.3;44.0;GER;00:09.805;4.4;41.0;NED;00:09.369;4.3;42.0;POL;00:09.616;4.3;49.0;;00:00.000;0.0;0.0
35;GBR;00:10.709;4.4;45.0;GER;00:10.886;4.5;42.0;NED;00:10.495;4.3;43.0;POL;00:10.718;4.4;49.0;;00:00.000;0.0;0.0
40;GBR;00:11.829;4.5;45.0;GER;00:11.994;4.6;42.0;NED;00:11.654;4.4;43.0;POL;00:11.854;4.4;49.0;;00:00.000;0.0;0.0
45;GBR;00:12.952;4.5;45.0;GER;00:13.094;4.6;42.0;NED;00:12.832;4.4;43.0;POL;00:12.997;4.4;49.0;;00:00.000;0.0;0.0
50;GBR;00:14.071;4.6;45.0;GER;00:14.162;4.6;42.0;NED;00:14.003;4.4;43.0;POL;00:14.132;4.4;49.0;;00:00.000;0.0;0.0
55;GBR;00:15.188;4.6;45.0;GER;00:15.230;4.6;42.0;NED;00:15.180;4.3;42.0;POL;00:15.265;4.4;49.0;;00:00.000;0.0;0.0
60;GBR;00:16.286;4.6;45.0;GER;00:16.345;4.6;42.0;NED;00:16.336;4.3;42.0;POL;00:16.398;4.4;48.0;;00:00.000;0.0;0.0
65;GBR;00:17.369;4.5;45.0;GER;00:17.469;4.6;41.0;NED;00:17.509;4.2;42.0;POL;00:17.536;4.4;48.0;;00:00.000;0.0;0.0
70;GBR;00:18.501;4.5;45.0;GER;00:18.523;4.6;41.0;NED;00:18.710;4.2;42.0;POL;00:18.671;4.5;48.0;;00:00.000;0.0;0.0
75;GBR;00:19.640;4.4;45.0;GER;00:19.643;4.5;41.0;NED;00:19.917;4.2;42.0;POL;00:19.807;4.4;48.0;;00:00.000;0.0;0.0
80;GBR;00:20.790;4.4;45.0;GER;00:20.805;4.5;40.0;NED;00:21.124;4.2;41.0;POL;00:20.944;4.4;48.0;;00:00.000;0.0;0.0
85;GBR;00:21.928;4.4;44.0;GER;00:21.946;4.4;40.0;NED;00:22.302;4.2;41.0;POL;00:22.081;4.4;47.0;;00:00.000;0.0;0.0
90;GBR;00:23.046;4.4;44.0;GER;00:23.066;4.4;40.0;NED;00:23.506;4.1;41.0;POL;00:23.234;4.3;47.0;;00:00.000;0.0;0.0
95;GBR;00:24.147;4.4;44.0;GER;00:24.223;4.4;39.0;NED;00:24.749;4.1;40.0;POL;00:24.397;4.3;47.0;;00:00.000;0.0;0.0
100;GBR;00:25.334;4.4;43.0;GER;00:25.423;4.3;39.0;NED;00:25.996;4.1;40.0;POL;00:25.577;4.3;47.0;;00:00.000;0.0;0.0
105;GBR;00:26.500;4.4;43.0;GER;00:26.606;4.3;38.0;NED;00:27.214;4.1;40.0;POL;00:26.757;4.3;46.0;;00:00.000;0.0;0.0
110;GBR;00:27.673;4.3;43.0;GER;00:27.731;4.3;38.0;NED;00:28.379;4.1;40.0;POL;00:27.933;4.3;46.0;;00:00.000;0.0;0.0
115;GBR;00:28.811;4.3;42.0;GER;00:28.960;4.2;38.0;NED;00:29.575;4.1;39.0;POL;00:29.102;4.3;46.0;;00:00.000;0.0;0.0
120;GBR;00:29.940;4.3;42.0;GER;00:30.165;4.2;37.0;NED;00:30.802;4.2;39.0;POL;00:30.271;4.3;46.0;;00:00.000;0.0;0.0
125;GBR;00:31.129;4.3;41.0;GER;00:31.330;4.2;37.0;NED;00:32.022;4.2;39.0;POL;00:31.433;4.3;45.0;;00:00.000;0.0;0.0
130;GBR;00:32.319;4.3;41.0;GER;00:32.491;4.2;37.0;NED;00:33.204;4.2;39.0;POL;00:32.614;4.3;44.0;;00:00.000;0.0;0.0
135;GBR;00:33.495;4.3;41.0;GER;00:33.725;4.2;36.0;NED;00:34.382;4.2;39.0;POL;00:33.848;4.2;43.0;;00:00.000;0.0;0.0
140;GBR;00:34.639;4.3;41.0;GER;00:34.937;4.2;36.0;NED;00:35.614;4.1;39.0;POL;00:35.092;4.1;42.0;;00:00.000;0.0;0.0
145;GBR;00:35.796;4.3;41.0;GER;00:36.085;4.2;36.0;NED;00:36.857;4.1;39.0;POL;00:36.332;4.1;41.0;;00:00.000;0.0;0.0
150;GBR;00:37.017;4.2;41.0;GER;00:37.338;4.1;36.0;NED;00:38.072;4.1;39.0;POL;00:37.565;4.1;41.0;;00:00.000;0.0;0.0
155;GBR;00:38.241;4.2;40.0;GER;00:38.564;4.1;35.0;NED;00:39.251;4.1;39.0;POL;00:38.782;4.0;40.0;;00:00.000;0.0;0.0
160;GBR;00:39.443;4.2;40.0;GER;00:39.730;4.1;35.0;NED;00:40.478;4.1;38.0;POL;00:40.042;4.0;40.0;;00:00.000;0.0;0.0
165;GBR;00:40.613;4.2;40.0;GER;00:40.940;4.1;35.0;NED;00:41.732;4.1;38.0;POL;00:41.334;3.9;40.0;;00:00.000;0.0;0.0
170;GBR;00:41.801;4.2;40.0;GER;00:42.200;4.1;35.0;NED;00:42.979;4.1;38.0;POL;00:42.628;3.9;40.0;;00:00.000;0.0;0.0
