Distance;ShortName1;Time1;Speed1;Stroke1;ShortName2;Time2;Speed2;Stroke2;ShortName3;Time3;Speed3;Stroke3;ShortName4;Time4;Speed4;Stroke4;ShortName5;Time5;Speed5;Stroke5;ShortName6;Time6;Speed6;Stroke6;ShortName7;Time7;Speed7;Stroke7;
110;POL;00:23.937;4.9;41.0;SUI;00:23.889;5.0;46.0;FRA;00:23.912;5.0;39.0;NZL;00:24.138;5.0;43.0;CHN;00:00.000;0.0;0.0;TUN;00:23.997;5.0;44.0;;00:00.000;0.0;0.0
115;POL;00:25.025;4.8;41.0;SUI;00:24.878;5.0;46.0;FRA;00:24.841;5.0;39.0;NZL;00:25.172;5.0;43.0;CHN;00:00.000;0.0;0.0;TUN;00:25.011;5.0;44.0;;00:00.000;0.0;0.0
120;POL;00:26.084;4.8;41.0;SUI;00:25.823;4.9;46.0;FRA;00:25.940;4.9;39.0;NZL;00:26.134;4.9;42.0;CHN;00:00.000;0.0;0.0;TUN;00:25.944;5.0;43.0;;00:00.000;0.0;0.0
125;POL;00:27.040;4.8;41.0;SUI;00:26.885;4.9;45.0;FRA;00:26.982;4.9;39.0;NZL;00:27.167;4.9;42.0;CHN;00:00.000;0.0;0.0;TUN;00:27.011;4.9;43.0;;00:00.000;0.0;0.0
130;POL;00:28.089;4.8;41.0;SUI;00:27.915;4.9;45.0;FRA;00:27.915;4.9;39.0;NZL;00:28.234;4.9;42.0;CHN;00:00.000;0.0;0.0;TUN;00:28.040;4.9;43.0;;00:00.000;0.0;0.0
135;POL;00:29.149;4.9;41.0;SUI;00:28.887;5.0;45.0;FRA;00:28.999;4.9;39.0;NZL;00:29.241;4.9;42.0;CHN;00:00.000;0.0;0.0;TUN;00:29.048;4.9;43.0;;00:00.000;0.0;0.0
140;POL;00:30.136;4.9;41.0;SUI;00:29.834;5.0;45.0;FRA;00:29.997;4.9;39.0;NZL;00:30.194;4.9;42.0;CHN;00:00.000;0.0;0.0;TUN;00:30.006;4.9;43.0;;00:00.000;0.0;0.0
145;POL;00:31.126;4.9;41.0;SUI;00:30.909;5.0;45.0;FRA;00:30.953;4.9;38.0;NZL;00:31.265;4.9;42.0;CHN;00:00.000;0.0;0.0;TUN;00:31.108;4.9;43.0;;00:00.000;0.0;0.0
150;POL;00:32.205;4.9;41.0;SUI;00:31.930;5.0;44.0;FRA;00:32.025;5.0;38.0;NZL;00:32.282;4.9;42.0;CHN;00:00.000;0.0;0.0;TUN;00:32.142;4.9;43.0;;00:00.000;0.0;0.0
155;POL;00:33.230;4.9;41.0;SUI;00:32.894;5.0;44.0;FRA;00:32.990;5.0;38.0;NZL;00:33.214;5.0;41.0;CHN;00:00.000;0.0;0.0;TUN;00:33.071;4.9;42.0;;00:00.000;0.0;0.0
160;POL;00:34.228;4.9;41.0;SUI;00:33.887;4.9;44.0;FRA;00:33.998;5.0;38.0;NZL;00:34.291;4.9;41.0;CHN;00:00.000;0.0;0.0;TUN;00:34.143;4.9;42.0;;00:00.000;0.0;0.0
165;POL;00:35.303;4.9;40.0;SUI;00:34.970;4.9;44.0;FRA;00:35.063;4.9;38.0;NZL;00:35.328;4.9;41.0;CHN;00:00.000;0.0;0.0;TUN;00:35.219;4.9;42.0;;00:00.000;0.0;0.0
170;POL;00:36.323;4.8;40.0;SUI;00:35.974;4.9;44.0;FRA;00:35.996;4.9;38.0;NZL;00:36.268;4.9;41.0;CHN;00:00.000;0.0;0.0;TUN;00:36.244;4.9;42.0;;00:00.000;0.0;0.0
175;POL;00:37.294;4.8;40.0;SUI;00:36.926;4.9;43.0;FRA;00:37.063;4.9;38.0;NZL;00:37.355;4.9;41.0;CHN;00:00.000;0.0;0.0;TUN;00:37.208;4.8;42.0;;00:00.000;0.0;0.0
180;POL;00:38.397;4.8;40.0;SUI;00:38.027;4.9;43.0;FRA;00:38.127;4.9;38.0;NZL;00:38.400;4.9;41.0;CHN;00:00.000;0.0;0.0;TUN;00:38.304;4.8;42.0;;00:00.000;0.0;0.0
185;POL;00:39.468;4.8;40.0;SUI;00:39.069;4.9;43.0;FRA;00:39.050;4.9;38.0;NZL;00:39.378;4.9;41.0;CHN;00:00.000;0.0;0.0;TUN;00:39.369;4.8;42.0;;00:00.000;0.0;0.0
190;POL;00:40.400;4.8;40.0;SUI;00:40.083;4.9;43.0;FRA;00:40.148;4.9;38.0;NZL;00:40.430;4.8;40.0;CHN;00:00.000;0.0;0.0;TUN;00:40.339;4.8;42.0;;00:00.000;0.0;0.0
195;POL;00:41.509;4.8;40.0;SUI;00:41.028;4.9;43.0;FRA;00:41.194;4.9;38.0;NZL;00:41.505;4.8;40.0;CHN;00:00.000;0.0;0.0;TUN;00:41.394;4.8;42.0;;00:00.000;0.0;0.0
200;POL;00:42.570;4.8;40.0;SUI;00:42.100;4.9;43.0;FRA;00:42.125;4.9;38.0;NZL;00:42.487;4.8;40.0;CHN;00:00.000;0.0;0.0;TUN;00:42.475;4.8;41.0;;00:00.000;0.0;0.0
205;POL;00:43.518;4.8;39.0;SUI;00:43.157;4.9;43.0;FRA;00:43.217;4.9;38.0;NZL;00:43.517;4.8;40.0;CHN;00:00.000;0.0;0.0;TUN;00:43.493;4.8;41.0;;00:00.000;0.0;0.0
210;POL;00:44.604;4.8;39.0;SUI;00:44.125;4.9;43.0;FRA;00:44.211;4.9;38.0;NZL;00:44.568;4.9;40.0;CHN;00:00.000;0.0;0.0;TUN;00:44.498;4.8;41.0;;00:00.000;0.0;0.0
215;POL;00:45.665;4.9;39.0;SUI;00:45.122;4.9;43.0;FRA;00:45.199;4.9;38.0;NZL;00:45.565;4.9;40.0;CHN;00:00.000;0.0;0.0;TUN;00:45.603;4.8;41.0;;00:00.000;0.0;0.0
220;POL;00:46.598;4.9;39.0;SUI;00:46.218;4.9;43.0;FRA;00:46.271;4.9;38.0;NZL;00:46.561;4.9;40.0;CHN;00:00.000;0.0;0.0;TUN;00:46.664;4.8;41.0;;00:00.000;0.0;0.0
225;POL;00:47.687;4.9;39.0;SUI;00:47.239;4.9;43.0;FRA;00:47.201;4.9;38.0;NZL;00:47.645;4.9;40.0;CHN;00:00.000;0.0;0.0;TUN;00:47.639;4.8;40.0;;00:00.000;0.0;0.0
230;POL;00:48.742;4.9;39.0;SUI;00:48.168;4.9;43.0;FRA;00:48.274;4.9;37.0;NZL;00:48.649;4.9;40.0;CHN;00:00.000;0.0;0.0;TUN;00:48.754;4.7;40.0;;00:00.000;0.0;0.0
235;POL;00:49.669;4.9;39.0;SUI;00:49.232;4.9;42.0;FRA;00:49.326;4.9;37.0;NZL;00:49.643;4.9;39.0;CHN;00:00.000;0.0;0.0;TUN;00:49.844;4.7;40.0;;00:00.000;0.0;0.0
240;POL;00:50.767;4.9;39.0;SUI;00:50.297;4.9;42.0;FRA;00:50.259;4.9;37.0;NZL;00:50.725;4.9;39.0;CHN;00:00.000;0.0;0.0;TUN;00:50.829;4.7;40.0;;00:00.000;0.0;0.0
245;POL;00:51.835;4.9;39.0;SUI;00:51.294;4.9;42.0;FRA;00:51.377;4.9;37.0;NZL;00:51.738;4.9;39.0;CHN;00:00.000;0.0;0.0;TUN;00:51.905;4.7;40.0;;00:00.000;0.0;0.0
